st1,st2,st3,lon,lat,area
021065,021062,950458,130.02396500313003,33.6395562796095,
950458,021062,950456,129.82491523009801,34.023689149480795,
021062,021060,950456,130.154114376891,34.0860380389683,
021060,021062,940087,130.485650186661,33.7777917656784,124441843.85838047
960725,960777,950487,130.03014782478598,31.212199074605998,
93055,02P206,960594,139.550095804779,34.785561812595,147485142.74346972
93022,95113,960602,140.11902030330597,33.7665580674939,
95113,141202,960602,139.548181582887,33.2574045016092,
93021,950226,93022,140.608932993804,35.5787400495054,
950226,95113,93022,140.325765040098,34.6930454798202,
950252,960565,950232,137.920295817744,38.0607020138202,
950235,960565,950252,137.840297128413,37.8929042066124,
940028,950167,111184,141.93995283184202,39.5848225181937,26709653.270813894
940066,03P214,960637,136.22521794581698,34.0624426140801,79971339.22491373
940068,021010,021009,135.889359495021,34.305633499559406,114442527.1811461
021010,950366,111188,135.757152297063,34.2339351451119,199262975.53779224
021010,940068,950366,135.789879537345,34.3374212524662,113020653.59155668
031111,021000,950373,135.846906397422,33.8270458944396,40359534.3667101
031111,950316,021000,135.923171003532,33.80240541206759,72945304.59350497
950334,960763,960764,135.783102535113,34.6696344101613,128059149.36080697
970825,021000,111188,135.791987063238,33.9727005821808,119851872.71373191
021000,970825,950373,135.80160814436698,33.883839871473896,130644590.92862327
021011,950370,051146,135.50986045538698,34.0792987412988,210827825.65206268
950366,950370,111188,135.668936986143,34.227223002726596,220660823.0982727
950370,970825,111188,135.679270922646,34.087630776012,106622698.02515593
970825,950370,021011,135.612874279641,34.0406302795317,255754561.98659974
970825,041130,950373,135.68882971667102,33.840711887036996,168580683.07572535
041130,970825,021011,135.612811992537,33.8825721012636,184755553.38999274
950368,031109,051146,135.344601909561,34.140747755782805,116728860.93913522
031109,950368,940069,135.276403700064,34.164807635220896,81350068.1173322
960652,031109,940069,135.21300398733598,34.08789935315159,65062963.311403506
071160,071161,950314,137.315083488363,34.5319243618767,
071161,950306,950314,137.166585406323,34.524041280263695,
950317,950318,960638,136.15850454782398,35.4777766578543,130117877.96465133
950317,940056,950318,136.10553035244,35.538505247388,75019620.9336153
950285,950317,960638,136.30352402775898,35.534393214632395,226795213.10447207
950352,950351,950349,135.11634118458298,34.8504805614042,148620506.89983147
950351,950352,950356,135.114964958886,34.7645542585605,137407813.8583566
960519,940009,950167,144.187383826266,41.9036050960791,
950119,960519,021098,148.418583170682,36.9470101884741,
970779,950103,950101,142.33865394107698,45.1504834411059,71262820.88520025
020850,970779,950101,142.257051768777,45.14651931522479,162695478.8756049
970779,020850,950103,142.37949045368399,45.0353876065071,143018059.40565854
020853,950107,020854,142.696596109947,44.3866811693052,355575553.7336637
020853,970780,950105,142.503858898929,44.680586605488905,432531792.0380543
950107,020853,970782,142.472847040425,44.397624455533794,385824327.1537356
020853,950105,970782,142.35274517181298,44.5422525049491,491435913.7190229
