st1,st2,st3,area
950132,950136,950141,361569627.6777499
950132,970790,940014,377520527.9816388
950136,960523,950139,223030123.73264512
950139,960523,950135,316075135.3407131
950246,950240,020962,263286118.67207778
950265,950247,950267,220187430.47836134
950247,950265,960569,238828933.38709787
950265,020964,960569,318519352.2630936
020955,020954,940045,262191600.8461383
960753,960754,960755,146566069.43185887
960753,93011,93005,144024946.76143986
960753,960755,93011,160224665.43666506
960592,020955,940045,155143222.20862135
020979,960613,950272,151048579.3958998
960613,020957,950272,231692220.13041136
960506,960510,020858,314147522.9015857
020857,960506,020858,188822153.3208506
020885,020880,940012,176138920.2416967
020862,020857,950110,190294020.38865733
020862,960506,020857,406387893.92111677
020865,950110,960509,326515086.54525894
020865,020862,950110,116680521.84942062
03S047,960532,940015,265084497.06914392
940019,960532,03S047,281594427.3273857
05S053,960532,940010,
940010,960532,960531,
960532,05S051,960531,
05S051,960532,950167,
960532,940019,950167,
07S064,940019,07S063,
950144,940019,03S047,227517536.31795526
950158,950144,950142,
950144,950158,07S063,
940019,950144,07S063,
960507,970784,960505,364683054.08487105
960507,02P202,950108,
02P202,960507,960505,
950125,960515,960531,223021140.8144257
960515,950125,950116,311104671.2096072
950122,960515,940005,296469373.60039186
960515,020870,940005,269104037.76583475
960515,950116,020870,134496147.90898356
020863,020866,950111,233938664.15715393
960504,020863,950111,275518425.52197635
960510,020863,960504,431005927.2000722
020867,091177,960510,238205497.25182474
960506,020867,960510,247795262.0253382
020867,960506,940007,421528328.2986272
950121,020874,131199,
020874,950121,020866,648696050.6481891
091177,020874,960510,
020874,020863,960510,
020863,020874,020866,
960532,950138,940015,100183554.7698234
950138,960532,05S053,
960521,940011,131199,
950121,940011,020883,118946369.34010693
940011,950121,131199,
960674,111189,121192,138766529.83850285
960766,950394,940077,293299750.8258728
950417,960674,121192,147373561.92253897
950342,960648,950345,172161060.80507857
950342,970823,960648,169394164.19639602
950328,021001,960640,170858716.3797521
021001,940057,960640,229816726.86404526
940057,021001,950329,143544458.6721144
021026,041135,021015,215065865.61408183
041135,021016,950382,
021015,041135,950382,
950381,960662,950379,193168181.29311398
960660,960662,950394,336303074.4353035
960660,021026,950379,175142479.13357216
960662,960660,950379,260578600.8746879
940077,021032,960767,170936625.92982715
021015,111187,950379,106662606.95305194
960656,111187,021015,174130170.0764796
111187,950381,950379,150268946.6054059
940074,960656,021018,112372647.77566503
940074,021018,021020,131060857.30700198
950385,940074,021020,147853437.97410282
940078,021035,061151,149860367.63874045
021024,071164,950399,131390357.33198856
071164,960658,960665,264884921.23172733
071164,021024,960658,266590577.20062807
071157,071164,960665,141773802.87771603
021036,960666,960672,232275966.40642306
940078,021036,021035,196453211.5475962
021036,940078,960666,148265392.2118022
960680,021036,960672,
950434,021036,960680,
021031,950401,960663,191608949.8639348
960667,960768,021035,131093575.1972489
950433,021048,950435,153538850.41073638
021048,950434,950436,158730116.01852465
021048,041134,950435,134746690.08895546
041134,021048,950436,261903893.42958462
041137,950474,021081,112153680.61414167
021082,950475,021081,121083403.90090671
950475,041137,021081,162714159.97919115
021038,960769,960665,165244477.00690705
960769,071157,960665,136034783.55659345
960666,960769,960672,389515236.82341754
071157,960769,960666,205638323.1019776
021040,940086,960672,514103412.2907159
940086,021040,970828,
960659,950410,960658,196942522.0657064
960658,950410,960665,350036653.81300586
950410,021038,960665,264860124.89404485
950410,960659,021037,230194013.89633924
950387,021021,950386,186534172.18178037
950387,021023,960663,145780378.36536452
021030,950387,960663,201682734.53381687
021021,950387,021020,271530809.9585612
950387,021030,021020,252404954.25431454
960657,950400,021023,232075624.3073252
021022,960657,950386,141753388.47967964
950399,960657,021022,187564846.46128246
960657,950387,950386,358688136.9680777
950387,960657,021023,194827225.82068568
041132,950433,950435,121453389.94385543
041134,041132,950435,99160526.24966477
041132,041134,031123,90103878.89534616
950443,950445,031119,95850138.01200925
031119,950445,940083,106652256.33650875
02P120,950443,960683,
940084,02P120,960683,
02P120,950445,950443,
950445,02P120,940084,
031125,950448,021058,103234912.70055676
031125,031126,940085,92580875.2683245
031126,031125,021058,165509789.43812937
960684,940084,960683,35552808.30353499
031124,051142,021058,81574877.19425718
031124,051141,950447,87266276.23121826
051141,031124,021058,73714390.21758705
021050,031124,950447,103316345.71029773
051142,031124,021050,156509729.22608802
950437,041133,021059,87758702.49369135
051142,950437,021059,134408359.72386032
950437,051142,021050,91622748.48838192
950437,960681,041133,73799420.87570514
960681,950437,021050,91821784.86476134
021049,081165,021050,160651480.0043304
081165,960681,021050,83621787.95017123
081165,021049,950436,106292268.6132674
081165,950436,031117,122958082.9158056
970829,081165,031117,113791429.00951688
960681,081165,970829,103300939.85621119
950481,021087,950482,93691180.77344231
021087,950481,960714,141430922.97103113
021087,950489,950482,162882507.30621907
940094,021084,02P122,
950476,940094,02P122,
940094,960711,021084,97128906.23718284
950477,960711,021081,301884814.1632458
960711,021082,021081,311445743.16418856
960711,950476,021082,271969362.42111915
960711,940094,950476,209225978.65260118
950480,960713,021088,35670981.2660857
960713,940095,021088,20273270.668271128
950481,950479,021076,317978177.9288624
950489,960722,942004,165444863.65287143
950492,950493,960726,181152411.13494265
950491,950493,950492,
950493,960728,960726,197357376.32095343
950493,950491,960727,
960728,950493,960727,172042115.82457715
021067,960689,960690,186529987.53130552
960689,940091,960690,329321816.9432033
960689,021067,960772,131598922.16185226
960771,950450,950454,243741812.57856774
970831,960771,950454,233848864.61218935
960771,950451,021062,251195143.59265488
950450,960771,021062,191838234.12237152
021066,950455,950454,171739814.20154285
950455,950461,950454,367580154.623135
950455,960689,960772,174712287.11251256
960689,950455,021066,155733858.04904327
950467,960774,02P210,
021091,950488,960777,298827796.14147997
940096,970834,960717,168742941.8717823
970834,950485,950468,280439099.3836446
970834,960718,950485,218534311.42754558
960721,940097,021092,132887990.7721729
960722,960721,021092,85780522.0472046
021093,940099,942004,211535507.66378328
960722,021093,942004,176591200.5388855
021093,950491,960724,
940099,021093,960724,
021069,970831,950464,117085823.59300111
021069,960700,960688,195580062.4089942
950465,021069,950464,177712390.46888477
960700,021069,950465,107043589.28625515
960694,970831,950461,154010951.6282775
960694,960696,950464,89315401.01882231
970831,960694,950464,240362399.58570203
960700,021070,960710,128610310.53515562
960701,021070,950465,168720401.3878853
021070,960700,950465,107490647.89867358
970837,960776,960719,177785574.75701112
960776,960721,960719,72854019.76463649
960721,960776,940097,153435110.98664582
940097,960776,021091,113429884.01031455
960776,960718,970836,56528889.10696261
960776,970837,960718,182979884.1345804
950488,960776,970836,107893400.828958
960776,950488,021091,254908189.90995857
960720,960722,950489,62992516.22414031
960721,960720,960719,23892102.43173821
960720,960721,960722,33950746.22459056
970837,950486,950485,196394835.2625167
950486,021087,960714,206683767.16211706
021087,950486,950489,280484683.77976084
950485,950486,950469,370081755.9083906
